FixedRef,AliasTypeID,Primary,LowQuality,ParentRef
26095,1400,false,true,26095
26095,1400,false,true,26095
26095,1400,false,true,26095
26096,1403,true,false,26096
26097,1403,true,false,26097
26098,1403,true,false,26098
26099,1403,true,false,26099
26100,1403,true,false,26100
26100,1400,false,false,26100
26100,1400,false,false,26100
26118,1403,true,false,26118
26118,1400,false,false,26118
26118,1400,false,false,26118
26118,1400,false,false,26118
26118,1400,false,false,26118
26118,1400,false,false,26118
26119,1403,true,false,26119
26119,1400,false,false,26119
26119,1400,false,true,26119
26120,1403,true,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26120,1400,false,false,26120
26121,1403,true,false,26121
26121,1400,false,false,26121
26121,1400,false,false,26121
26122,1403,true,false,26122
26122,1400,false,false,26122
26122,1400,false,true,26122
26123,1403,true,false,26123
26123,1400,false,false,26123
26123,1400,false,false,26123
26124,1403,true,false,26124
26125,1403,true,false,26125
26125,1400,false,true,26125
26126,1403,true,false,26126
26126,1400,false,false,26126
26126,1400,false,false,26126
26126,1400,false,false,26126
26126,1400,false,false,26126
26137,1403,true,false,26137
26137,1400,false,true,26137
26137,1400,false,true,26137
26138,1403,true,false,26138
26138,1400,false,false,26138
26138,1400,false,true,26138
26138,1400,false,true,26138
26138,1400,false,true,26138
26139,1403,true,false,26139
26139,1400,false,true,26139
26140,1403,true,false,26140
26140,1400,false,true,26140
26141,1403,true,false,26141
26141,1400,false,true,26141
26142,1403,true,false,26142
26142,1400,false,true,26142
26143,1403,true,false,26143
26143,1400,false,true,26143
26144,1403,true,false,26144
26145,1403,true,false,26145
26146,1403,true,false,26146
26147,1403,true,false,26147
26147,1400,false,true,26147
26147,1400,false,true,26147
26148,1403,true,false,26148
26148,1400,false,true,26148
26149,1403,true,false,26149
26149,1400,false,false,26149
26150,1403,true,false,26150
26150,1400,false,true,26150
26150,1400,false,false,26150
26150,1400,false,false,26150
26151,1403,true,false,26151
26151,1400,false,true,26151
26152,1403,true,false,26152
26152,1400,false,false,26152
26153,1403,true,false,26153
26153,1400,false,true,26153
26154,1403,true,false,26154
26154,1400,false,true,26154
26161,1403,true,false,26161
26162,1403,true,false,26162
26162,1400,false,false,26162
26164,1403,true,false,26164
26165,1403,true,false,26165
26168,1403,true,false,26168
26168,1400,false,false,26168
26169,1403,true,false,26169
26169,1400,false,false,26169
26169,1400,false,false,26169
26169,1400,false,false,26169
26169,1400,false,false,26169
26170,1403,true,false,26170
26170,1400,false,false,26170
26171,1403,true,false,26171
26171,1400,false,false,26171
26172,1403,true,false,26172
26172,1400,false,false,26172
26172,1400,false,false,26172
26173,1403,true,false,26173
26174,1403,true,false,26174
26175,1403,true,false,26175
26175,1400,false,false,26175
26175,1400,false,false,26175
26176,1403,true,false,26176
26177,1403,true,false,26177
26178,1403,true,false,26178
26179,1403,true,false,26179
26180,1403,true,false,26180
26181,1403,true,false,26181
26183,1403,true,false,26183
26185,1403,true,false,26185
26186,1403,true,false,26186
26188,1403,true,false,26188
26190,1403,true,false,26190
26191,1403,true,false,26191
26192,1403,true,false,26192
26193,1403,true,false,26193
26194,1403,true,false,26194
26194,1400,false,false,26194
26194,1400,false,false,26194
26194,1400,false,false,26194
26194,1400,false,false,26194
26195,1403,true,false,26195
26195,1400,false,false,26195
26199,1403,true,false,26199
26199,1400,false,false,26199
26199,1400,false,false,26199
26199,1400,false,false,26199
26199,1400,false,false,26199
26199,1400,false,false,26199
26199,1400,false,false,26199
26200,1403,true,false,26200
26200,1400,false,false,26200
26200,1400,false,false,26200
26200,1400,false,false,26200
26200,1400,false,false,26200
26200,1400,false,false,26200
26201,1403,true,false,26201
26202,1403,true,false,26202
26203,1403,true,false,26203
26204,1403,true,false,26204
26205,1403,true,false,26205
26206,1403,true,false,26206
26207,1403,true,false,26207
26208,1403,true,false,26208
26209,1403,true,false,26209
26210,1403,true,false,26210
26211,1403,true,false,26211
26212,1403,true,false,26212
26213,1403,true,false,26213
26214,1403,true,false,26214
26215,1403,true,false,26215
26216,1403,true,false,26216
26217,1403,true,false,26217
26218,1403,true,false,26218
26218,1400,false,false,26218
26219,1403,true,false,26219
26219,1400,false,false,26219
26220,1403,true,false,26220
26221,1403,true,false,26221
26222,1403,true,false,26222
26226,1403,true,false,26226
26226,1400,false,false,26226
26226,1400,false,false,26226
26228,1403,true,false,26228
26228,1400,false,false,26228
26230,1403,true,false,26230
26230,1400,false,false,26230
26230,1400,false,false,26230
26231,1403,true,false,26231
26231,1400,false,false,26231
26232,1403,true,false,26232
26232,1400,false,false,26232
26233,1403,true,false,26233
26234,1403,true,false,26234
26235,1403,true,false,26235
26236,1403,true,false,26236
26236,1400,false,true,26236
26236,1400,false,true,26236
26236,1400,false,true,26236
26243,1403,true,false,26243
26244,1403,true,false,26244
26263,1403,true,false,26263
26304,1403,true,false,26304
26304,1400,false,false,26304
26305,1403,true,false,26305
26305,1400,false,false,26305
26305,1400,false,false,26305
26305,1400,false,false,26305
26323,1403,true,false,26323
26324,1403,true,false,26324
26325,1403,true,false,26325
26325,1400,false,false,26325
26325,1400,false,false,26325
26325,1400,false,false,26325
26326,1403,true,false,26326
26326,1400,false,false,26326
26326,1400,false,false,26326
26343,1403,true,false,26343
26344,1403,true,false,26344
26344,1400,false,false,26344
26344,1400,false,false,26344
26344,1400,false,false,26344
26344,1400,false,false,26344
26344,1400,false,false,26344
26345,1403,true,false,26345
26346,1403,true,false,26346
26347,1403,true,false,26347
26347,1400,false,false,26347
26347,1400,false,false,26347
26347,1400,false,false,26347
26347,1400,false,false,26347
26347,1400,false,false,26347
26347,1400,false,false,26347
26347,1400,false,false,26347
26348,1403,true,false,26348
26348,1400,false,false,26348
26348,1400,false,false,26348
26348,1400,false,false,26348
26348,1400,false,false,26348
26367,1403,true,false,26367
26367,1400,false,false,26367
26367,1400,false,false,26367
26367,1400,false,false,26367
26367,1400,false,false,26367
26383,1403,true,false,26383
26383,1400,false,false,26383
26384,1403,true,false,26384
26385,1403,true,false,26385
26385,1400,false,false,26385
26386,1403,true,false,26386
26387,1403,true,false,26387
26388,1403,true,false,26388
26388,1400,false,false,26388
26389,1403,true,false,26389
26389,1400,false,false,26389
26389,1400,false,false,26389
26390,1403,true,false,26390
26390,1400,false,false,26390
26391,1403,true,false,26391
26391,1400,false,false,26391
26392,1403,true,false,26392
26392,1400,false,false,26392
26393,1403,true,false,26393
26394,1403,true,false,26394
26396,1403,true,false,26396
26397,1403,true,false,26397
26397,1400,false,false,26397
26397,1400,false,false,26397
26398,1403,true,false,26398
26398,1400,false,false,26398
26399,1403,true,false,26399
26399,1400,false,false,26399
26401,1403,true,false,26401
26401,1400,false,false,26401
26401,1400,false,false,26401
26402,1403,true,false,26402
26402,1400,false,true,26402
26407,1403,true,false,26407
26407,1400,false,true,26407
26408,1403,true,false,26408
26408,1400,false,true,26408
26410,1403,true,false,26410
26410,1400,false,true,26410
26410,1400,false,true,26410
26411,1403,true,false,26411
26412,1403,true,false,26412
26412,1400,false,true,26412
26412,1400,false,true,26412
26413,1403,true,false,26413
26413,1400,false,false,26413
26416,1403,true,false,26416
26417,1403,true,false,26417
26417,1400,false,false,26417
26418,1403,true,false,26418
26418,1400,false,false,26418
26419,1403,true,false,26419
26419,1400,false,false,26419
26420,1403,true,false,26420
26420,1400,false,false,26420
26421,1403,true,false,26421
26421,1400,false,false,26421
26423,1403,true,false,26423
26424,1403,true,false,26424
26424,1400,false,false,26424
26425,1403,true,false,26425
26425,1400,false,false,26425
26425,1400,false,false,26425
26426,1403,true,false,26426
26426,1400,false,false,26426
26443,1403,true,false,26443
26443,1400,false,false,26443
26444,1403,true,false,26444
26444,1400,false,false,26444
26445,1403,true,false,26445
26445,1400,false,false,26445
26446,1403,true,false,26446
26446,1400,false,false,26446
26446,1400,false,false,26446
26446,1400,false,false,26446
26446,1400,false,false,26446
26446,1400,false,false,26446
26446,1400,false,false,26446
26446,1400,false,false,26446
26446,1400,false,false,26446
26465,1403,true,false,26465
26465,1400,false,false,26465
26465,1400,false,false,26465
26465,1400,false,false,26465
26466,1403,true,false,26466
26466,1400,false,false,26466
26466,1400,false,false,26466
26466,1400,false,false,26466
26467,1403,true,false,26467
26468,1403,true,false,26468
26468,1400,false,false,26468
26468,1400,false,false,26468
26468,1400,false,false,26468
26468,1400,false,false,26468
26468,1400,false,false,26468
26469,1403,true,false,26469
26469,1400,false,false,26469
26470,1403,true,false,26470
26470,1400,false,false,26470
26471,1403,true,false,26471
26503,1403,true,false,26503
26503,1401,false,false,26503
26503,1401,false,false,26503
26503,1400,false,false,26503
26503,1400,false,false,26503
26503,1400,false,false,26503
26504,1403,true,false,26504
26504,1400,false,false,26504
26504,1400,false,false,26504
26504,1400,false,false,26504
26504,1400,false,false,26504
26505,1403,true,false,26505
26505,1400,false,false,26505
26505,1400,false,false,26505
26505,1400,false,false,26505
26505,1400,false,false,26505
26505,1400,false,false,26505
26505,1400,false,false,26505
26505,1400,false,false,26505
26505,1400,false,false,26505
26506,1403,true,false,26506
26506,1400,false,false,26506
26506,1400,false,false,26506
26507,1403,true,false,26507
26507,1400,false,false,26507
26507,1400,false,false,26507
26509,1403,true,false,26509
26509,1400,false,false,26509
26509,1400,false,false,26509
26509,1400,false,false,26509
26509,1400,false,false,26509
26510,1403,true,false,26510
26510,1400,false,false,26510
26510,1400,false,false,26510
26511,1403,true,false,26511
26511,1400,false,false,26511
26511,1400,false,false,26511
26511,1400,false,false,26511
26511,1400,false,false,26511
26512,1403,true,false,26512
26512,1400,false,false,26512
26512,1400,false,false,26512
26512,1400,false,false,26512
26512,1400,false,false,26512
26513,1403,true,false,26513
26513,1400,false,false,26513
26513,1400,false,false,26513
26513,1400,false,false,26513
26515,1403,true,false,26515
26515,1400,false,false,26515
26517,1403,true,false,26517
26517,1400,false,false,26517
26517,1400,false,false,26517
26523,1403,true,false,26523
26523,1400,false,false,26523
26523,1400,false,false,26523
26523,1400,false,false,26523
26523,1400,false,false,26523
26526,1403,true,false,26526
26527,1403,true,false,26527
26528,1403,true,false,26528
26528,1401,false,false,26528
26529,1403,true,false,26529
26529,1401,false,false,26529
26530,1403,true,false,26530
26530,1400,false,false,26530
26530,1400,false,false,26530
26531,1403,true,false,26531
26532,1403,true,false,26532
26533,1403,true,false,26533
26534,1403,true,false,26534
26535,1403,true,false,26535
26535,1400,false,false,26535
26535,1400,false,false,26535
26536,1403,true,false,26536
26536,1400,false,false,26536
26536,1400,false,false,26536
26536,1400,false,false,26536
26537,1403,true,false,26537
26538,1403,true,false,26538
26538,1400,false,false,26538
26538,1400,false,false,26538
26539,1403,true,false,26539
26539,1400,false,false,26539
26539,1400,false,false,26539
26540,1403,true,false,26540
26540,1400,false,false,26540
26541,1403,true,false,26541
26542,1403,true,false,26542
26543,1403,true,false,26543
26543,1400,false,false,26543
