NamePartGroupID,NamePartTypeID,ParentRef
21984,1525,4715
21985,1525,4715
21986,1525,4715
21987,1525,4715
21988,1525,4715
71641,1525,4717
21989,1525,4717
21990,1525,4717
21991,1525,4717
21992,1525,4717
71633,1520,6365
71634,1521,6365
21886,1520,6365
21887,1521,6365
21888,1520,6365
21889,1521,6365
21890,1520,6365
21891,1521,6365
21892,1520,6365
21893,1521,6365
21894,1520,6365
21895,1521,6365
72267,1525,6366
21897,1525,6366
21898,1525,6366
21899,1525,6366
21900,1525,6366
21901,1525,6366
21902,1525,6366
21903,1525,6366
21904,1525,6366
21905,1525,6366
21906,1525,6366
21907,1525,6366
21908,1525,6366
21909,1525,6366
21910,1525,6366
21911,1525,6366
21912,1525,6366
45611,1525,6366
71610,1520,6367
71611,1521,6367
19270,1520,6367
19271,1521,6367
19272,1520,6367
19273,1521,6367
19274,1520,6367
19275,1521,6367
19276,1520,6367
19277,1520,6367
19278,1520,6367
19279,1521,6367
19280,1520,6367
19281,1521,6367
19282,1520,6367
19283,1521,6367
71635,1520,6368
71636,1521,6368
21913,1520,6368
21914,1520,6368
21915,1521,6368
21916,1520,6368
21917,1520,6368
21918,1521,6368
21919,1520,6368
21920,1521,6368
21921,1520,6368
21922,1521,6368
21923,1520,6368
4831,1525,6531
21197,1525,6531
4839,1525,6539
21204,1525,6539
4850,1525,6550
4726,1520,6635
4727,1521,6635
4728,1525,6636
21089,1525,6636
21090,1525,6636
21091,1525,6636
21092,1525,6636
21093,1525,6636
4737,1525,6663
21099,1525,6663
4754,1525,6680
21104,1525,6680
4773,1520,6703
4774,1521,6703
21107,1520,6703
21108,1521,6703
21109,1520,6703
21110,1521,6703
21111,1520,6703
21112,1521,6703
21113,1520,6703
21114,1521,6703
21115,1520,6703
21116,1521,6703
4775,1520,6704
4776,1521,6704
21117,1520,6704
21118,1521,6704
21119,1520,6704
21120,1521,6704
21121,1520,6704
21122,1521,6704
21123,1520,6704
21124,1521,6704
21125,1520,6704
21126,1521,6704
21127,1520,6704
21128,1521,6704
4777,1520,6706
4778,1521,6706
21129,1520,6706
21130,1521,6706
21131,1520,6706
21132,1521,6706
4779,1520,6707
4780,1521,6707
21133,1520,6707
21134,1521,6707
4781,1520,6708
4782,1521,6708
21135,1520,6708
21136,1521,6708
4783,1520,6709
4784,1521,6709
21137,1520,6709
21138,1520,6709
21139,1521,6709
21140,1520,6709
21141,1521,6709
21142,1520,6709
21143,1521,6709
21144,1520,6709
21145,1521,6709
4785,1520,6710
4786,1521,6710
21146,1520,6710
21147,1521,6710
21148,1520,6710
