
NamePartGroupID,NamePartTypeID,ParentRef,DistinctPartyRef,NamePartTypeValue
20872,1525,6853,6853,Entity Name
20873,1525,6853,6853,Entity Name
20874,1525,6853,6853,Entity Name
116268,1525,6853,6853,Entity Name
116269,1525,6853,6853,Entity Name
116270,1525,6853,6853,Entity Name
116271,1525,6853,6853,Entity Name
4696,1520,6856,6856,Last Name
4697,1521,6856,6856,First Name
20879,1520,6856,6856,Last Name
20880,1521,6856,6856,First Name
20881,1520,6856,6856,Last Name
20882,1521,6856,6856,First Name
20883,1520,6856,6856,Last Name
20884,1521,6856,6856,First Name
20885,1520,6856,6856,Last Name
20886,1521,6856,6856,First Name
4698,1520,6857,6857,Last Name
4699,1521,6857,6857,First Name
20887,1520,6857,6857,Last Name
20888,1521,6857,6857,First Name
20889,1520,6857,6857,Last Name
20890,1521,6857,6857,First Name
20891,1520,6857,6857,Last Name
20892,1521,6857,6857,First Name
20893,1520,6857,6857,Last Name
20894,1521,6857,6857,First Name
20895,1520,6857,6857,Last Name
20896,1521,6857,6857,First Name
20897,1520,6857,6857,Last Name
20898,1521,6857,6857,First Name
20899,1520,6857,6857,Last Name
20900,1521,6857,6857,First Name
20901,1520,6857,6857,Last Name
20902,1521,6857,6857,First Name
20903,1520,6857,6857,Last Name
20904,1521,6857,6857,First Name
4700,1520,6858,6858,Last Name
4701,1521,6858,6858,First Name
4702,1520,6859,6859,Last Name
4703,1521,6859,6859,First Name
20905,1520,6859,6859,Last Name
20906,1521,6859,6859,First Name
4704,1520,6860,6860,Last Name
4705,1521,6860,6860,First Name
20907,1520,6860,6860,Last Name
20908,1521,6860,6860,First Name
20909,1520,6860,6860,Last Name
20910,1521,6860,6860,First Name
20911,1520,6860,6860,Last Name
20912,1521,6860,6860,First Name
20913,1520,6860,6860,Last Name
20914,1521,6860,6860,First Name
4706,1520,6861,6861,Last Name
4707,1521,6861,6861,First Name
20947,1520,6861,6861,Last Name
20948,1521,6861,6861,First Name
20949,1520,6861,6861,Last Name
20950,1521,6861,6861,First Name
20915,1520,6861,6861,Last Name
20916,1521,6861,6861,First Name
20917,1520,6861,6861,Last Name
20918,1521,6861,6861,First Name
20919,1520,6861,6861,Last Name
20920,1521,6861,6861,First Name
20921,1520,6861,6861,Last Name
20922,1521,6861,6861,First Name
20923,1520,6861,6861,Last Name
20924,1521,6861,6861,First Name
20925,1520,6861,6861,Last Name
20926,1521,6861,6861,First Name
20927,1520,6861,6861,Last Name
20928,1521,6861,6861,First Name
20929,1520,6861,6861,Last Name
20930,1521,6861,6861,First Name
20931,1520,6861,6861,Last Name
20932,1521,6861,6861,First Name
20933,1520,6861,6861,Last Name
20934,1521,6861,6861,First Name
20935,1520,6861,6861,Last Name
20936,1521,6861,6861,First Name
20937,1520,6861,6861,Last Name
20938,1521,6861,6861,First Name
20939,1520,6861,6861,Last Name
20940,1521,6861,6861,First Name
20941,1520,6861,6861,Last Name
20942,1521,6861,6861,First Name
20943,1520,6861,6861,Last Name
20944,1521,6861,6861,First Name
20945,1520,6861,6861,Last Name
20946,1521,6861,6861,First Name
4708,1520,6862,6862,Last Name
4709,1521,6862,6862,First Name
20951,1520,6862,6862,Last Name
